F1,Date,Date Entered/Updated,Launch Time (UTC),Missile Name,Missile Type,Launch Agency/Authority,Facility Name,Facility Location,Other Name,Facility Latitude,Facility Longitude,Landing Location,Apogee,Distance Travelled,Confirmation Status,Test Outcome
1,1984-04-09,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,Unknown,Unknown,Unknown,Confirmed,Success
2,1984-04-09,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,Unknown,Unknown,Unknown,Confirmed,Success
3,1984-04-09,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,Unknown,200 km,Unknown,Confirmed,Success
4,1984-09-01,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,Unknown,Unknown,Unknown,Confirmed,Failure
5,1984-09-01,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,Unknown,200 km,Unknown,Confirmed,Failure
6,1984-09-01,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,Unknown,200 km,Unknown,Confirmed,Failure
7,1986-05-01,23-Dec-16,,Unknown,Unknown,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,Unknown,Unknown,Unknown,Unconfirmed,Unknown
8,1990-05-01,23-Dec-16,,Nodong,MRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,Unknown,150 km,Unknown,Unconfirmed,Failure
9,1990-06-01,23-Dec-16,,Scud-C,SRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664, East Sea,200 km,Unknown,Confirmed,Success
10,1991-07-01,23-Dec-16,,Scud-C,SRBM,,Chihari Missile Base,Chiha-ri?/ Kangwon Province/ (North Korea),Chiha-ri Taepodong Base,38.62333,126.6847, East Sea,Unknown,Unknown,Confirmed,Success
11,1992-06-01,23-Dec-16,,Nodong,MRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,Unknown,0 km,Unknown,Unconfirmed,Failure
12,1993-05-29,23-Dec-16,,Nodong,MRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664, East Sea,150 km,500 km,Confirmed,Success
13,1993-05-29,23-Dec-16,,Scud-C,SRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664, East Sea,200 km,Unknown,Confirmed,Unknown
14,1993-05-29,23-Dec-16,,Scud-C,SRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664, East Sea,200 km,Unknown,Confirmed,Success
15,1993-05-30,23-Dec-16,,Scud-C,SRBM,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664, East Sea,200 km,Unknown,Confirmed,Success
16,1998-08-31,23-Dec-16,,Taepodong-1,SLV,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,330km east of Hachinohe and 4000 km out into Pacific Ocean,Unknown,1/380 km,Confirmed,Failure
17,2006-07-05,05-Jan-17,,Unha,SLV,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664, East Sea,40 km,Unknown,Confirmed,Failure
18,2006-07-05,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,150 km,Unknown,Confirmed,Success
19,2006-07-05,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,150 km,Unknown,Confirmed,Success
20,2006-07-05,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,150 km,Unknown,Confirmed,Success
21,2006-07-05,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,150 km,Unknown,Confirmed,Success
22,2006-07-05,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,150 km,Unknown,Confirmed,Success
23,2006-07-05,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,150 km,Unknown,Confirmed,Success
24,2009-04-05,05-Jan-17,,Unha,SLV,,Tonghae Satellite Launching Ground,Hwadae County/ North Hamgyong Province,Musudan-ri,40.8499966,129.666664,Pacific Ocean,Unknown,,Confirmed,Failure
25,2009-07-05,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,150 km,Unknown,Confirmed,Success
26,2009-07-05,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,150 km,Unknown,Confirmed,Success
27,2009-07-05,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,,,Confirmed,Success
28,2009-07-05,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,,,Confirmed,Success
29,2009-07-05,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,,,Confirmed,Success
30,2009-07-05,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,,,Confirmed,Success
31,2009-07-05,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,,,Confirmed,Success
32,2012-04-13,05-Jan-17,,Unha-3,SLV,,Sohae Satellite Launching Station,Cholsan County/ North Pyongan Province,North Pyongan,39.6596,124.7057,Pacific Ocean,Unknown,Unknown,Confirmed,Failure
33,2012-12-12,05-Jan-17,,Unha-3,SLV,,Sohae Satellite Launching Station,Cholsan County/ North Pyongan Province,North Pyongan,39.6596,124.7057,N/A,581 km,N/A,Confirmed,Success
34,2013-05-18,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,Kangwon Province/ (North Korea),,39.40167,127.5369, East Sea,Unknown,Unknown,Unconfirmed,Success
35,2013-05-18,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,Kangwon Province/ (North Korea),,39.40167,127.5369, East Sea,Unknown,Unknown,Unconfirmed,Success
36,2013-05-18,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,Kangwon Province/ (North Korea),,39.40167,127.5369, East Sea,Unknown,Unknown,Unconfirmed,Success
37,2013-05-19,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,Kangwon Province/ (North Korea),,39.40167,127.5369, East Sea,Unknown,Unknown,Unconfirmed,Success
38,2013-05-20,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,Kangwon Province/ (North Korea),,39.40167,127.5369, East Sea,Unknown,Unknown,Unconfirmed,Success
39,2013-05-20,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,Kangwon Province/ (North Korea),,39.40167,127.5369, East Sea,Unknown,Unknown,Unconfirmed,Success
40,2014-02-27,05-Jan-17,,Scud-B,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,80 km,200 km,Confirmed,Success
41,2014-02-27,05-Jan-17,,Scud-B,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,Unknown,200 km,Confirmed,Success
42,2014-02-27,05-Jan-17,,Scud-B,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,Unknown,200 km,Confirmed,Success
43,2014-02-27,05-Jan-17,,Scud-B,SRBM,,Kittaeryong Missile Base,Kittae Pass/ Kangwon Province/ (North Korea),Gitdaeryung,38.99083,127.6236, East Sea,Unknown,200 km,Confirmed,Success
44,2014-03-03,05-Jan-17,,Scud-C,SRBM,,Wonsan Kalma International Airport,Kangwon Province/ (North Korea),Wonsan Airbase,39.1677,127.4817, East Sea,150 km,500 km,Confirmed,Success
45,2014-03-03,05-Jan-17,,Scud-C,SRBM,,Wonsan Kalma International Airport,Kangwon Province/ (North Korea),Wonsan Airbase,39.1677,127.4817, East Sea,Unknown,500 km,Confirmed,Success
46,2014-03-26,05-Jan-17,,Nodong,MRBM,,Sunchon Airbase,South Pyongan Province,,39.412594,125.89031, East Sea,150 km,650 km,Confirmed,Success
47,2014-03-26,05-Jan-17,,Nodong,MRBM,,Sunchon Airbase,South Pyongan Province,,39.412594,125.89031, East Sea,150 km,650 km,Confirmed,Success
48,2014-06-26,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,Kangwon Province/ (North Korea),,39.40167,127.5369, East Sea,Unknown,Unknown,Confirmed,Success
49,2014-06-29,23-Aug-17,,Scud-C,SRBM,,Masikryong,Kangwon Province/ (North Korea),Masikryong Ski Resort/ Masik Pass,39.065962,127.250257, East Sea,150 km,Unknown,Confirmed,Success
50,2014-06-29,23-Aug-17,,Scud-C,SRBM,,Masikryong,Kangwon Province/ (North Korea),Masikryong Ski Resort/ Masik Pass,39.065962,127.250257, East Sea,150 km,Unknown,Confirmed,Success
51,2014-07-09,29-Nov-17,,Scud-C,SRBM,,Hwangju,Hwangju/  North Hwanghae province,Unknown,38.686834,125.702005, East Sea,100 km,500 km,Confirmed,Success
